"e","package Spring.web;

import org.springframework.boot.SpringApplication;
import org.springframework.boot.autoconfigure.SpringBootApplication;

@SpringBootApplication
public class HelloWorldSpringIntellijApplication {

	public static void main(String[] args) {
		SpringApplication.run(HelloWorldSpringIntellijApplication.class, args);
	}

}
","","0","1631552760606","HelloWorldSpringIntellijApplication.java"
"e","","
","21","1631555991763","IPessoaDao.java"
"a","Delete",,,"1631556130622","Pessoa.java"
"e","","   @NotEmpty","376","1631556130631","Pessoa.java"
"a","Up",,,"1631556131573","Pessoa.java"
"a","Up",,,"1631556131803","Pessoa.java"
"a","Down",,,"1631556132137","Pessoa.java"
"a","Down",,,"1631556132369","Pessoa.java"
"a","Down",,,"1631556132554","Pessoa.java"
"a","Down",,,"1631556133206","Pessoa.java"
"a","Right with Selection",,,"1631556134551","Pessoa.java"
"a","Right with Selection",,,"1631556135070","Pessoa.java"
"a","Right with Selection",,,"1631556135102","Pessoa.java"
"a","Right with Selection",,,"1631556135136","Pessoa.java"
"a","Right with Selection",,,"1631556135171","Pessoa.java"
"a","Right with Selection",,,"1631556135204","Pessoa.java"
"a","Right with Selection",,,"1631556135239","Pessoa.java"
"a","Right with Selection",,,"1631556135275","Pessoa.java"
"a","Right with Selection",,,"1631556135308","Pessoa.java"
"a","Right with Selection",,,"1631556135565","Pessoa.java"
"a","Right with Selection",,,"1631556135794","Pessoa.java"
"a","Right with Selection",,,"1631556136261","Pessoa.java"
"a","Backspace",,,"1631556136752","Pessoa.java"
"a","Down",,,"1631556137455","Pessoa.java"
"a","Down",,,"1631556137665","Pessoa.java"
"a","Right",,,"1631556138116","Pessoa.java"
"a","Right",,,"1631556138347","Pessoa.java"
"a","Right",,,"1631556138585","Pessoa.java"
"a","Right with Selection",,,"1631556139034","Pessoa.java"
"a","Right with Selection",,,"1631556139247","Pessoa.java"
"a","Right with Selection",,,"1631556139436","Pessoa.java"
"a","Right with Selection",,,"1631556139613","Pessoa.java"
"a","Right with Selection",,,"1631556139813","Pessoa.java"
"a","Right with Selection",,,"1631556140034","Pessoa.java"
"a","Right with Selection",,,"1631556140487","Pessoa.java"
"a","Right with Selection",,,"1631556140694","Pessoa.java"
"a","Right with Selection",,,"1631556140880","Pessoa.java"
"a","Backspace",,,"1631556141448","Pessoa.java"
"a","Down",,,"1631556142052","Pessoa.java"
"a","Down",,,"1631556142297","Pessoa.java"
"a","Right with Selection",,,"1631556142779","Pessoa.java"
"a","Right with Selection",,,"1631556142965","Pessoa.java"
"a","Right with Selection",,,"1631556143146","Pessoa.java"
"a","Right with Selection",,,"1631556143329","Pessoa.java"
"a","Right with Selection",,,"1631556143513","Pessoa.java"
"a","Right with Selection",,,"1631556143717","Pessoa.java"
"a","Right with Selection",,,"1631556143900","Pessoa.java"
"a","Right with Selection",,,"1631556144084","Pessoa.java"
"a","Right with Selection",,,"1631556144419","Pessoa.java"
"a","Backspace",,,"1631556144995","Pessoa.java"
"e","","import javax.validation.constraints.NotEmpty;
","70","1631556146154","Pessoa.java"
"e","","","99","1631556146154","Pessoa.java"
"e",""," ","329","1631556146154","Pessoa.java"
"e","","","330","1631556146155","Pessoa.java"
"e","","    @NotEmpty","355","1631556146154","Pessoa.java"
"e","","","356","1631556146155","Pessoa.java"
"e","","    @NotEmpty","386","1631556146154","Pessoa.java"
"e","","","387","1631556146155","Pessoa.java"
"e","","","413","1631556146154","Pessoa.java"
"e","","@NotEmpty","417","1631556146155","Pessoa.java"
"a","EditorChange",,,"1631556285636","Pessoa.java"
"a","Undo Backspace",,,"1631556291155","Pessoa.java"
"a","Undo Backspace",,,"1631556291611","Pessoa.java"
"a","Undo Backspace",,,"1631556292125","Pessoa.java"
"a","Undo Backspace",,,"1631556292649","Pessoa.java"
"a","Undo Backspace",,,"1631556293208","Pessoa.java"
"a","Undo Backspace",,,"1631556293532","Pessoa.java"
"a","Undo Backspace",,,"1631556294251","Pessoa.java"
"a","Undo Backspace",,,"1631556294526","Pessoa.java"
"e","","    ","413","1631556317110","Pessoa.java"
"e","Spring.domain.","","188","1631557882378","IPessoaDao.java"
"e","import Spring.domain.Pessoa;","","21","1631557882412","IPessoaDao.java"
"e","","Spring.domain.","216","1631557882470","IPessoaDao.java"
"e","Spring.domain.","","488","1631557882524","PrimeiroControlador.java"
"e","import Spring.domain.Pessoa;","","21","1631557882547","PrimeiroControlador.java"
"e","","Spring.domain.","516","1631557882569","PrimeiroControlador.java"
"e","
","","49","1631557882638","PrimeiroControlador.java"
"e","
","","49","1631557882873","IPessoaDao.java"
"e","Spring.dao.","","394","1631557887872","PrimeiroControlador.java"
"e","pring.dao.IPessoaDao;import S","","29","1631557887985","PrimeiroControlador.java"
"e","","Spring.dao.","423","1631557888011","PrimeiroControlador.java"
"e","
","","50","1631557888087","PrimeiroControlador.java"
"e","web.","","35","1631558050892","PrimeiroControlador.java"
"e","web.","","69","1631558061429","PrimeiroControlador.java"
"a","Backspace",,,"1631558137253","PrimeiroControlador.java"
"e","","
","351","1631558137333","PrimeiroControlador.java"
